0,1,2,3,4,5
0.00,1.95,1.97,2.00,1.99,1.99
1.95,0.00,1.90,1.96,1.98,1.96
1.97,1.90,0.00,1.98,1.97,1.98
2.00,1.96,1.98,0.00,2.00,2.00
1.99,1.98,1.97,2.00,0.00,2.00
1.99,1.96,1.98,2.00,2.00,0.00
