0,1,2,3,4,5
0.00,4.00,4.40,1.86,3.40,4.80
4.00,0.00,3.20,4.40,3.80,3.40
4.40,3.20,0.00,4.00,4.40,4.00
1.86,4.40,4.00,0.00,4.20,5.00
3.40,3.80,4.40,4.20,0.00,3.20
4.80,3.40,4.00,5.00,3.20,0.00
