0,1,2,3,4,5
0.00,4.80,5.00,4.80,1.84,4.60
4.80,0.00,3.80,3.40,4.00,4.00
5.00,3.80,0.00,3.80,4.60,3.60
4.80,3.40,3.80,0.00,4.80,1.91
1.84,4.00,4.60,4.80,0.00,5.00
4.60,4.00,3.60,1.91,5.00,0.00
