0,1,2,3,4,5
0.0,4.54,3.89,3.75,4.26,4.03
4.54,0.0,4.49,4.49,3.77,3.09
3.89,4.49,0.0,1.95,4.26,4.14
3.75,4.49,1.95,0.0,4.41,3.29
4.26,3.77,4.26,4.41,0.0,3.31
4.03,3.09,4.14,3.29,3.31,0.0
